value.F1,value.sd,nb_filter,kernel_size,embedingdim,hidden_size
0.9820210040564146,0.0025432964640056447,256,16,100,1024
0.9801312058264121,0.0037226449596107166,128,16,100,1024
0.9777774456207508,0.0033447308060301243,64,16,100,1024
0.9726753010034468,0.004545568025375283,32,16,100,1024
0.979565690129588,0.003445751769476184,256,8,100,1024
0.9786908125215852,0.0056221434700609784,128,8,100,1024
0.9785695437684748,0.0027699525088284217,64,8,100,1024
0.9729592781329847,0.005011217871546011,32,8,100,1024
0.9792802396489203,0.002299005070366068,256,4,100,1024
0.9752190908169673,0.006186111123739573,128,4,100,1024
0.9760541113679008,0.005693358301024123,64,4,100,1024
0.9712613779599424,0.005546297254801907,32,4,100,1024
0.9745587876232787,0.005258562305903742,256,2,100,1024
0.9731209379218951,0.006637719297952436,128,2,100,1024
0.9724075138600845,0.005192992657370539,64,2,100,1024
0.9730053909408841,0.0034538911529147795,32,2,100,1024
0.9799219979751665,0.004224225772274208,256,16,50,1024
0.979147450463809,0.003954468274741801,128,16,50,1024
0.9766433152743998,0.003933541529806514,64,16,50,1024
0.9746772397623591,0.004055825136115837,32,16,50,1024
0.9783226432440992,0.0035537791375451653,256,8,50,1024
0.97674460670248,0.004239202235401583,128,8,50,1024
0.9764832404228712,0.004780652957719564,64,8,50,1024
0.9697484546448417,0.005907056890034863,32,8,50,1024
0.9785948212122623,0.0036883541531393172,256,4,50,1024
0.9748175350633459,0.007664171175603737,128,4,50,1024
0.9745867419430057,0.006672635930949666,64,4,50,1024
0.969747340903689,0.008110866807550634,32,4,50,1024
0.9750533035803336,0.005836491521840798,256,2,50,1024
0.975884292376471,0.004977328795155051,128,2,50,1024
0.9697827803318262,0.006243002880523902,64,2,50,1024
0.9700494073031867,0.005080055827893195,32,2,50,1024
0.9753780571433915,0.005974503715733417,256,16,32,1024
0.9740426355576162,0.005724798297405632,128,16,32,1024
0.9752153115963481,0.0034963105636177942,64,16,32,1024
0.971623101836782,0.006209483517093756,32,16,32,1024
0.977297279972904,0.004622275688544102,256,8,32,1024
0.9766310819973318,0.004806766459817823,128,8,32,1024
0.9739437854705827,0.0032247459536572636,64,8,32,1024
0.9716301306667563,0.0063244927548643205,32,8,32,1024
0.977328873179588,0.005476741399030512,256,4,32,1024
0.9747285859489364,0.006731474735639482,128,4,32,1024
0.9738548333882356,0.005617996622153205,64,4,32,1024
0.9711867618756813,0.0018828410764895197,32,4,32,1024
0.9730565356221327,0.006266044956755375,256,2,32,1024
0.9727254822630094,0.004330942678552807,128,2,32,1024
0.9700197853848154,0.0033270713351806966,64,2,32,1024
0.9691833193948017,0.0033705013075844984,32,2,32,1024
0.9761643888336504,0.007347154134849754,256,16,100,512
0.9775545398032544,0.004709795547991674,128,16,100,512
0.9738910711585597,0.007214394563342656,64,16,100,512
0.9722635849235328,0.007523126815612463,32,16,100,512
0.9795591230874896,0.004202380102714442,256,8,100,512
0.9754978382945412,0.005378299811670351,128,8,100,512
0.9750619833293999,0.005525023466630729,64,8,100,512
0.968925973200615,0.007478421211686233,32,8,100,512
0.9797285032035505,0.005015928648522451,256,4,100,512
0.9764424701816399,0.006429392044714731,128,4,100,512
0.9764464051962964,0.004953467185242799,64,4,100,512
0.9745052782862018,0.004021080368960357,32,4,100,512
0.9713234511098495,0.008310915908163772,256,2,100,512
0.971651266107847,0.005295793838493421,128,2,100,512
0.9687277795384088,0.005364063862488224,64,2,100,512
0.973118205587468,0.002990263109196504,32,2,100,512
0.9776772414251779,0.005389062723384733,256,16,50,512
0.9762752698167508,0.005254941343561825,128,16,50,512
0.9720429904987319,0.006965077456848688,64,16,50,512
0.9680154537929792,0.007589518299015867,32,16,50,512
0.9780802012780029,0.004781821105507701,256,8,50,512
0.9773780234632872,0.004211196977675305,128,8,50,512
0.9735013769853522,0.005358906755339905,64,8,50,512
0.9712658360135936,0.00622181659397664,32,8,50,512
0.9753514199716663,0.00671254131757538,256,4,50,512
0.9741603896221769,0.005862211993193679,128,4,50,512
0.9715317564015312,0.00539500432393402,64,4,50,512
0.967752531933129,0.006166788952076814,32,4,50,512
0.9725444846906947,0.005879068400700529,256,2,50,512
0.9729341871238248,0.005455668995802241,128,2,50,512
0.970472818486369,0.00508393531076895,64,2,50,512
0.9672825760356139,0.00555401909257569,32,2,50,512
0.973706163706698,0.005932662833255257,256,16,32,512
0.9745211304908826,0.0047943736212721945,128,16,32,512
0.9734041353012067,0.004700734244213936,64,16,32,512
0.9654193782920624,0.005297149548874947,32,16,32,512
0.9758672893888158,0.005611506368666226,256,8,32,512
0.9719049934828852,0.0062136794071196615,128,8,32,512
0.9710094248384602,0.0062164237268644605,64,8,32,512
0.9710360922977611,0.004361463886226014,32,8,32,512
0.9791225937235802,0.006503194968679835,256,4,32,512
0.9755098411219305,0.005030068790952334,128,4,32,512
0.9690641098230379,0.006532214872384301,64,4,32,512
0.9692656035120282,0.005115479228359436,32,4,32,512
0.9711276640590805,0.004897917577293347,256,2,32,512
0.9699932181367478,0.010103376721348586,128,2,32,512
0.96406733573386,0.0072640460333683555,64,2,32,512
0.9675983202704709,0.004375006465896592,32,2,32,512
0.9778716401364914,0.005737233528889603,256,16,100,256
0.9770961902521708,0.004775302860975899,128,16,100,256
0.9728907578947327,0.005907889865501406,64,16,100,256
0.9697780612179909,0.0052312110483318484,32,16,100,256
0.9779623003670437,0.0047940180468419415,256,8,100,256
0.9739968840801937,0.005342612346235902,128,8,100,256
0.9728011537296618,0.005996317405642366,64,8,100,256
0.9735017633459588,0.004778488393194926,32,8,100,256
0.9759871792517469,0.005693472663866055,256,4,100,256
0.9722842880224614,0.006167532245440896,128,4,100,256
0.9761628824760801,0.0039219773120179905,64,4,100,256
0.973883755863526,0.003045128520428007,32,4,100,256
0.9758242690873701,0.003004037637320926,256,2,100,256
0.9733992782161459,0.006053890503613315,128,2,100,256
0.9668644157052043,0.010996870439147172,64,2,100,256
0.96854252014943365,0.005410680679241116,32,2,100,256
0.9748680901676547,0.006167257944996661,256,16,50,256
0.9710250826035525,0.012228751341181933,128,16,50,256
0.973759986927879,0.005464848072418414,64,16,50,256
0.9699469214610577,0.0054283855987684055,32,16,50,256
0.979707574832914,0.003308632792235442,256,8,50,256
0.9765996311822597,0.004996115061370513,128,8,50,256
0.9760662711335703,0.004767562076782998,64,8,50,256
0.969806600126684,0.004095419718801177,32,8,50,256
0.974299768495663,0.008261095996415292,256,4,50,256
0.9700101306008782,0.010144700605272861,128,4,50,256
0.9724887274562393,0.006436607890641819,64,4,50,256
0.9680340118682004,0.004473501604370771,32,4,50,256
0.9677400288135526,0.007756643238610603,256,2,50,256
0.9702607769684617,0.004274709791670743,128,2,50,256
0.9682448131680369,0.004309806050223956,64,2,50,256
0.9651711435510502,0.009308071620245049,32,2,50,256
0.9720822115662232,0.010491768523993602,256,16,32,256
0.9762536615671272,0.0049977972584018355,128,16,32,256
0.9653573664323956,0.004112074390390931,64,16,32,256
0.96671642730967,0.005825685107599771,32,16,32,256
0.9736637825370591,0.00627184020071367,256,8,32,256
0.9748805826006189,0.00619162745480179,128,8,32,256
0.9697440863325587,0.00360941924725916,64,8,32,256
0.9657301975534548,0.00535729505331451,32,8,32,256
0.9749313772733185,0.0039915876788985194,256,4,32,256
0.9717317291265222,0.007738466168456588,128,4,32,256
0.9664256754290391,0.004701262674704254,64,4,32,256
0.9637844522918612,0.007925193073633471,32,4,32,256
0.9689085128146843,0.010796698445935308,256,2,32,256
0.9634501687601876,0.0033345073418557586,128,2,32,256
0.9674079764725704,0.006817119585581934,64,2,32,256
0.9620780207477133,0.00629463170689726,32,2,32,256
0.9751898869486721,0.006689685794925144,256,16,100,128
0.9774582853730792,0.0036019421977259757,128,16,100,128
0.9720729698254565,0.0044333256248587066,64,16,100,128
0.9719883877508873,0.004285300607262514,32,16,100,128
0.9784158657753532,0.004476123791462807,256,8,100,128
0.9731723134341667,0.007512480159919033,128,8,100,128
0.9707722137612905,0.005300262446914362,64,8,100,128
0.9695079867377336,0.006400027883060313,32,8,100,128
0.9784850816716469,0.0037739623641759945,256,4,100,128
0.9706294248486426,0.008095667691102024,128,4,100,128
0.9746915992725319,0.0037634902746468365,64,4,100,128
0.9674965904305111,0.006160409275347381,32,4,100,128
0.9742591378407883,0.0032410222413077265,256,2,100,128
0.9682422669420863,0.01055619271123261,128,2,100,128
0.9646556081971142,0.004501606801253687,64,2,100,128
0.9617091905440104,0.005466492617500267,32,2,100,128
0.9726668525647569,0.010087610537513253,256,16,50,128
0.9768224979786254,0.004533777075634181,128,16,50,128
0.9718624737304226,0.004682566184287666,64,16,50,128
0.9661275714232289,0.004085611902660046,32,16,50,128
0.971116759697835,0.009701909244569611,256,8,50,128
0.9735501156254007,0.005676600911426205,128,8,50,128
0.9679405831303859,0.007808099419811042,64,8,50,128
0.9667757137087721,0.0055784809385527176,32,8,50,128
0.9767358397961667,0.003322691613787492,256,4,50,128
0.9686826153287225,0.0083437653081466,128,4,50,128
0.9681957772718612,0.0046806029319713055,64,4,50,128
0.9684280335286448,0.003612234405183131,32,4,50,128
0.9639265014152898,0.008234133714464608,256,2,50,128
0.9681647347039661,0.008228121802844815,128,2,50,128
0.9604147882302881,0.009021753183685866,64,2,50,128
0.9606161207070458,0.005529173316468826,32,2,50,128
0.9739323744218893,0.007861217454879084,256,16,32,128
0.9720451605454248,0.007554678872035681,128,16,32,128
0.9717948261078595,0.0028082070591600033,64,16,32,128
0.9659938126769083,0.006601420546364877,32,16,32,128
0.9728744143824661,0.00783902422744832,256,8,32,128
0.972942467830626,0.004784169695810222,128,8,32,128
0.9683896914644794,0.0060488969554210225,64,8,32,128
0.9627929785993771,0.004356202964204272,32,8,32,128
0.9738538352015753,0.0067846090206111955,256,4,32,128
0.9675080796764799,0.011889618268210483,128,4,32,128
0.9698374696034571,0.0030562914301997235,64,4,32,128
0.9629625192619845,0.008403141486955788,32,4,32,128
0.9681428430275965,0.0031114053201791885,256,2,32,128
0.9623308592285459,0.011131871958145243,128,2,32,128
0.9622156667044156,0.007791639277575103,64,2,32,128
0.9625104945604043,0.00567754308630407,32,2,32,128
0.9770159911926949,0.00432625989940402,256,16,100,64
0.9724581740099807,0.00534765619918833,128,16,100,64
0.9713572030764985,0.0075709852599615355,64,16,100,64
0.9677762862229784,0.005792045622633597,32,16,100,64
0.9756780086462966,0.008221184346554717,256,8,100,64
0.9757690493679305,0.004301760290419996,128,8,100,64
0.9740324684504382,0.004126212193140334,64,8,100,64
0.9657689237028899,0.00514319364244275,32,8,100,64
0.9763302376985324,0.004710936217634667,256,4,100,64
0.9745890222545388,0.004770247434664131,128,4,100,64
0.9685872426569988,0.006308323818270281,64,4,100,64
0.9665275197137838,0.004895395643605833,32,4,100,64
0.9725408607330394,0.005093886343763265,256,2,100,64
0.9662953318513418,0.005880065505002456,128,2,100,64
0.969052098846228,0.004854055317917218,64,2,100,64
0.960937961774161,0.004173448333320436,32,2,100,64
0.9731947938689325,0.008289287711150473,256,16,50,64
0.9729868908387097,0.007358428749593645,128,16,50,64
0.9690526389959953,0.004989752610127398,64,16,50,64
0.9653210547417265,0.009699340406136507,32,16,50,64
0.9766575108870932,0.0042779734858157245,256,8,50,64
0.9719274471712093,0.006890453741509556,128,8,50,64
0.9691736359442175,0.0031307305434860187,64,8,50,64
0.959667009014746,0.006255643888606137,32,8,50,64
0.972389809899136,0.008690498017010011,256,4,50,64
0.9718332450224894,0.004119529741758381,128,4,50,64
0.9676911590373862,0.004812237342831384,64,4,50,64
0.9674825751922893,0.0031766928296670174,32,4,50,64
0.9688430138438755,0.004230005507690127,256,2,50,64
0.9675626197406528,0.004486872499065145,128,2,50,64
0.9608930178111323,0.007533171186804714,64,2,50,64
0.9545222257679926,0.00719079009229349,32,2,50,64
0.9763931752546324,0.0030195441633271143,256,16,32,64
0.9692832074695815,0.008360114273265917,128,16,32,64
0.9674581764340583,0.006166217735934396,64,16,32,64
0.9668008571732177,0.0046630996434131825,32,16,32,64
0.9740992160651566,0.004228038734659047,256,8,32,64
0.9709565346839013,0.007790938849842161,128,8,32,64
0.9664316076267435,0.005626226380982626,64,8,32,64
0.9624400521057943,0.007003597583533595,32,8,32,64
0.974204853755372,0.0051924801286499225,256,4,32,64
0.9695940752537414,0.005952023677649642,128,4,32,64
0.9603206391153558,0.006958740315563896,64,4,32,64
0.9635522365528562,0.0034325321586316238,32,4,32,64
0.971455566385261,0.005158405554813138,256,2,32,64
0.965818989468221,0.004398458368598006,128,2,32,64
0.955947580447915,0.0066536147603438464,64,2,32,64
0.9568171614777238,0.007762748126637037,32,2,32,64
